"2018_summer																			",,,,,,,,,,,,,,
Sup,KDA,킬관여율,KT_Mata,FIN_Lehends,KZ_Gorilla,Gen_G_Corejj,Afreeca_Tusin,HLE_Key,SKT_T1_Wolf,SKT_T1_Effort,Jin_Air_Nova,MVP_Max,MVP_Motive,BBQ_Ignar
KT_Mata,3.4,0.657,x,0.8,0.2,1,0.5,0.5,x,0.5,0.8,1,x,1
FIN_Lehends,5.9,0.71,0.2,x,1,0.4,0.5,0.8,1,1,0.6,1,1,0.8
KZ_Gorilla,3.3,0.577,0.8,0,x,0.2,0.8,0.667,x,1,0.5,1,1,1
Gen_G_Corejj,3.9,0.749,0,0.6,0.8,x,0.4,0.667,1,0.333,0.8,1,x,0.8
Afreeca_Tusin,3.6,0.67,0.5,0.5,0.2,0.6,x,0.333,1,0.667,0.8,0.8,0.667,0.4
HLE_Key,4,0.685,0.5,0.2,0.333,0.333,0.667,x,x,0.5,0.8,1,x,0.8
SKT_T1_Wolf,1.2,0.888,x,0,x,0,0,x,x,x,x,x,x,x
SKT_T1_Effort,2.6,0.664,0.5,0,0,0.667,0.333,0.5,x,x,1,0.5,x,0.8
Jin_Air_Nova,2.3,0.557,0.2,0.4,0.5,0.2,0.2,0.2,x,0,x,0.5,0,0.6
MVP_Max,2.1,0.624,1,0,0,0,0.2,0,x,0.5,0.5,x,x,0.8
MVP_Motive,1.8,0.82,x,0,0,x,0.333,x,x,x,1,x,x,x
BBQ_Ignar,2.7,0.621,0,0.2,0,0.2,0.6,0.2,x,0.2,0.4,0.2,x,x
